Keuwl Accelerometer Data File
2019-04-23 13-21-05

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.8047471,17.313669,-7.838616,6.175843,19.983696,71.998367,335.641754
2.8148818,18.265366,-8.136695,6.858191,21.139162,71.068916,335.988403
2.8249500,18.505981,-8.483853,7.430405,21.671595,69.948555,335.371460
2.8348382,18.075026,-8.878897,7.838616,21.609842,68.731827,333.838593
2.8448670,17.222691,-9.233239,7.885303,21.072536,68.025238,331.803833
2.8578250,16.201563,-9.248801,7.532158,20.118755,68.013695,330.279755
2.8655407,15.162479,-8.956709,6.928820,18.924376,68.522736,329.429016
2.8758080,14.126987,-8.434772,6.302736,17.619354,69.039970,329.159912
2.8858187,13.132196,-7.617153,5.735310,16.228659,69.304199,329.884705
2.8956413,12.144588,-6.671443,5.306748,14.837815,69.044044,331.218475
2.9054422,11.063606,-5.764040,5.085284,13.471736,67.822449,332.480896
2.9152107,9.928755,-4.990714,4.963180,12.170479,65.932991,333.313507
2.9253860,8.805874,-4.314352,4.888960,10.957143,63.500546,333.897919
2.9355035,7.769185,-3.772065,4.797980,9.879743,60.945705,334.102692
2.9458067,6.830657,-3.385401,4.689044,8.950193,58.405495,333.636139
2.9558628,6.004658,-3.076549,4.531027,8.127193,56.115932,332.871185
2.9655786,5.313931,-2.829947,4.238934,7.363085,54.851273,331.962372
2.9756088,4.839879,-2.618060,3.815161,6.695828,55.264996,331.589508
2.9856207,4.557363,-2.445677,3.409343,6.194717,56.608074,331.780090
2.9957798,4.438850,-2.319981,3.052607,5.865502,58.638626,332.406006
3.0058315,4.484340,-2.213439,2.651578,5.660343,62.066380,333.729370
3.0156708,4.610035,-2.138022,2.134431,5.511747,67.216431,335.119263
3.0254893,4.800375,-2.146402,1.565808,5.486565,73.417870,335.909058
3.0356970,4.972757,-2.197877,0.994791,5.527077,79.631119,336.155365
3.0457528,5.058948,-2.373851,0.367510,5.600285,86.237350,334.862244
3.0567605,4.938041,-2.692280,-0.186748,5.627388,91.901741,331.400238
3.0657513,4.659117,-3.066972,-0.507571,5.601010,95.199348,326.644165
3.0758069,4.341885,-3.448848,-0.541090,5.571291,95.573410,321.539154
3.0858049,4.022259,-3.761291,-0.365116,5.518984,93.793251,316.920288
3.0956352,3.757699,-3.977966,-0.150835,5.474237,91.578903,313.368988
3.1058493,3.639187,-4.034230,0.073023,5.433601,89.229965,312.052887
3.1163433,3.598485,-4.027047,0.248997,5.406312,87.360214,311.783295
3.1257751,3.647566,-4.024653,0.229843,5.436488,87.576935,312.186188
3.1357679,3.705027,-3.967192,0.100556,5.429176,88.938736,313.042938
3.1456933,3.721786,-3.891775,-0.064643,5.385331,90.687775,313.720978
3.1556203,3.682282,-3.824737,-0.312443,5.318406,93.367928,313.912872
3.1658359,3.642778,-3.622427,-0.532710,5.164842,95.920105,315.160492
3.1756988,3.597288,-3.435679,-0.521936,5.001679,95.989845,316.316345
3.1854877,3.572149,-3.427300,-0.269348,4.957739,93.114342,316.185547
3.1969600,3.635595,-3.593697,0.132878,5.113694,88.511017,315.332062
3.2056885,3.912126,-4.003105,0.525527,5.621900,84.636238,314.341461
3.2159281,4.339490,-4.617218,0.845153,6.392509,82.402687,313.223969
3.2258060,5.102044,-5.239710,1.121683,7.398891,81.280251,314.237335
3.2368314,6.384139,-5.584476,1.074997,8.549809,82.776886,318.822449
3.2454920,7.699753,-5.729325,0.688333,9.622118,85.897751,323.347351
3.2558985,8.821436,-5.981913,0.177171,10.659850,89.047676,325.858368
3.2657177,9.521740,-6.508637,-0.104148,11.534156,90.517357,325.645233
3.2783306,10.058042,-7.207744,0.033519,12.374042,89.844795,324.374054
3.2857702,10.613496,-7.207744,0.577003,12.842539,87.424889,325.819122
3.2957697,11.473015,-7.903260,1.400608,14.001903,84.259109,325.438751
3.3060033,12.661736,-8.329428,2.213439,15.316600,81.690948,326.661377
3.3160310,13.931860,-8.469488,2.924517,16.564472,79.830917,328.703644
3.3264194,15.028404,-8.157045,3.367445,17.427851,78.859123,331.507996
3.3358557,15.028404,-8.157045,3.609259,17.476187,78.081253,331.507996
3.3459291,15.767015,-7.860164,3.768473,18.016169,77.926178,333.502838
3.3565235,15.905879,-7.417237,3.869030,17.971693,77.567772,334.999390
3.3658736,15.905879,-6.969521,3.869030,17.791588,77.439873,336.338287
3.3764002,14.645331,-6.560112,3.906140,16.516014,76.319572,335.870880
3.3867319,13.815741,-6.115988,3.859453,15.594082,75.670685,336.121857
3.3956563,13.815741,-5.554548,3.859453,15.382558,75.469345,338.097656
3.4057448,13.075933,-4.902128,3.696647,14.445624,75.173027,339.449127
3.4159894,12.557588,-4.133589,3.479972,13.670763,75.252731,341.779968
3.4256949,12.194866,-3.242946,3.192668,13.016320,75.801506,345.108154
3.4358680,11.759122,-2.305616,2.904167,12.329924,76.376656,348.906708
3.4483933,10.536881,-0.756568,2.346318,10.821436,77.477600,355.893097
3.4556980,10.536881,-0.756568,2.346318,10.821436,77.477600,355.893097
3.4655285,10.381259,0.023942,2.097321,10.591027,78.578331,0.132139
3.4754860,10.368091,0.969652,1.975216,10.599010,79.259651,5.342915
3.4867067,10.080787,1.509544,1.874660,10.364137,79.579010,8.516458
3.4993479,8.512584,1.047463,1.599327,8.724627,79.437279,7.014915
3.5057969,8.512584,1.047463,1.599327,8.724627,79.437279,7.014915
3.5158465,7.788338,0.712275,1.404199,7.945899,79.821236,5.225395
3.5258081,7.265205,0.428562,1.158794,7.369510,80.953171,3.375869
3.5359397,6.928820,0.268151,0.906205,6.992972,82.554214,2.216284
3.5485609,6.543353,-0.052672,0.682347,6.579046,84.046844,359.538788
3.5558348,6.543353,-0.052672,0.682347,6.579046,84.046844,359.538788
3.5657930,6.459556,-0.183156,0.895431,6.523895,82.111015,358.375854
3.5756106,6.473921,-0.335188,1.288081,6.609324,78.761795,357.036163
3.5856421,6.623559,-0.464475,1.898602,6.905937,74.042564,355.988708
3.5980101,6.886921,-0.495600,2.580950,7.371337,69.504539,355.883942
3.6060615,7.198167,-0.490811,3.019088,7.821087,67.292984,356.099304
3.6156912,7.469909,-0.539892,3.171120,8.133082,67.051483,355.866089
3.6255565,7.551312,-0.713472,3.072958,8.183790,67.945198,354.602539
3.6355803,7.539341,-1.040281,2.986767,8.175856,68.572998,352.143921
3.6482089,7.597999,-1.523909,2.975993,8.301110,68.991570,348.658813
